Timestamp,Probe 1,Probe 2,Probe 3,Probe 4
2020-06-21 14:05:38.890588,11826,77,11826,11826
2020-06-21 14:05:38.900162,11826,77,11826,11826
2020-06-21 14:05:38.902170,11826,77,11826,11826
2020-06-21 14:05:38.903936,11826,77,11826,11826
2020-06-21 14:05:38.905552,11826,77,11826,11826
2020-06-21 14:05:38.907021,11826,77,11826,11826
2020-06-21 14:05:38.924262,11826,77,11826,11826
2020-06-21 14:05:38.924462,11826,77,11826,11826
2020-06-21 14:05:38.924671,11826,77,11826,11826
2020-06-21 14:05:38.924801,11826,77,11826,11826
2020-06-21 14:05:38.927297,11826,77,11826,11826
2020-06-21 14:05:38.929390,11826,77,11826,11826
2020-06-21 14:05:38.931451,11826,77,11826,11826
2020-06-21 14:05:38.933414,11826,77,11826,11826
2020-06-21 14:05:38.935116,11826,77,11826,11826
2020-06-21 14:05:38.936614,11826,77,11826,11826
2020-06-21 14:05:38.938036,11826,77,11826,11826
2020-06-21 14:05:38.939282,11826,77,11826,11826
2020-06-21 14:05:38.940368,11826,77,11826,11826
2020-06-21 14:05:38.941416,11826,77,11826,11826
2020-06-21 14:05:38.942376,11826,77,11826,11826
2020-06-21 14:05:38.943110,11826,77,11826,11826
2020-06-21 14:05:38.943777,11826,77,11826,11826
2020-06-21 14:05:38.944252,11826,77,11826,11826
2020-06-21 14:05:38.944565,11826,77,11826,11826
2020-06-21 14:05:38.944885,11826,77,11826,11826
2020-06-21 14:05:38.945114,11826,77,11826,11826
2020-06-21 14:05:38.945267,11826,77,11826,11826
2020-06-21 14:05:38.945366,11826,77,11826,11826
2020-06-21 14:05:38.945655,11826,77,11826,11826
2020-06-21 14:05:39.340170,11826,77,11826,11826
2020-06-21 14:05:40.509839,11826,77,11826,11826
2020-06-21 14:05:41.289664,11826,77,11826,11826
2020-06-21 14:05:42.459279,11826,77,11826,11826
2020-06-21 14:05:43.239076,11826,77,11826,11826
2020-06-21 14:05:44.408676,11826,84,11826,11826
2020-06-21 14:05:45.188403,11826,84,11826,11826
2020-06-21 14:05:46.358168,11826,88,11826,11826
2020-06-21 14:05:47.137699,11826,91,11826,11826
2020-06-21 14:05:48.307289,11826,91,11826,11826
2020-06-21 14:05:49.476937,11826,91,11826,11826
2020-06-21 14:05:50.256684,11826,91,11826,11826
2020-06-21 14:05:51.426316,11826,93,11826,11826
2020-06-21 14:05:52.206028,11826,93,11826,11826
2020-06-21 14:05:53.375412,11826,93,11826,11826
2020-06-21 14:05:54.155283,11826,93,11826,11826
2020-06-21 14:05:55.324683,11826,93,11826,11826
2020-06-21 14:05:56.494664,11826,95,11826,11826
2020-06-21 14:05:57.274440,11826,95,11826,11826
2020-06-21 14:05:58.444054,11826,95,11826,11826
2020-06-21 14:05:59.223689,11826,95,11826,11826
2020-06-21 14:06:00.393418,11826,95,11826,11826
2020-06-21 14:06:01.172501,11826,95,11826,11826
2020-06-21 14:06:02.342621,11826,95,11826,11826
2020-06-21 14:06:03.512403,11826,95,11826,11826
2020-06-21 14:06:04.292122,11826,95,11826,11826
2020-06-21 14:06:05.461715,11826,95,11826,11826
2020-06-21 14:06:06.241267,11826,95,11826,11826
2020-06-21 14:06:07.411093,11826,95,11826,11826
2020-06-21 14:06:08.190405,11826,95,11826,11826
2020-06-21 14:06:09.357214,11826,95,11826,11826
2020-06-21 14:06:10.134945,11826,95,11826,11826
2020-06-21 14:06:11.302258,11826,95,11826,11826
2020-06-21 14:06:12.469605,11826,95,11826,11826
2020-06-21 14:06:13.247876,11826,95,11826,11826
2020-06-21 14:06:14.415378,11826,95,11826,11826
2020-06-21 14:06:15.193855,11826,95,11826,11826
2020-06-21 14:06:16.361735,11826,95,11826,11826
2020-06-21 14:06:17.140269,11826,95,11826,11826
2020-06-21 14:06:18.308306,11826,95,11826,11826
2020-06-21 14:06:19.476505,11826,95,11826,11826
2020-06-21 14:06:20.644725,11826,95,11826,11826
2020-06-21 14:06:21.423567,11826,95,11826,11826
2020-06-21 14:06:22.202553,11826,95,11826,11826
2020-06-21 14:06:23.371007,11826,95,11826,11826
2020-06-21 14:06:24.150012,11826,95,11826,11826
2020-06-21 14:06:25.318656,11826,95,11826,11826
2020-06-21 14:06:26.487325,11826,95,11826,11826
2020-06-21 14:06:27.266446,11826,95,11826,11826
2020-06-21 14:06:28.435212,11826,95,11826,11826
2020-06-21 14:06:29.214455,11826,93,11826,11826
2020-06-21 14:06:30.383314,11826,93,11826,11826
2020-06-21 14:06:32.331604,11826,91,11826,11826
2020-06-21 14:06:32.332589,11826,91,11826,11826
2020-06-21 14:06:33.111017,11826,91,11826,11826
2020-06-21 14:06:34.280034,11826,90,11826,11826
2020-06-21 14:06:35.448978,11826,90,11826,11826
2020-06-21 14:06:36.228526,11826,90,11826,11826
2020-06-21 14:06:37.397711,11826,90,11826,11826
2020-06-21 14:06:38.177201,11826,88,11826,11826
2020-06-21 14:06:39.346404,11826,88,11826,11826
2020-06-21 14:06:40.125901,11826,88,11826,11826
2020-06-21 14:06:41.295045,11826,88,11826,11826
2020-06-21 14:06:42.464460,11826,88,11826,11826
2020-06-21 14:06:43.243979,11826,86,11826,11826
2020-06-21 14:06:44.413237,11826,86,11826,11826
2020-06-21 14:06:45.192739,11826,86,11826,11826
2020-06-21 14:06:46.362212,11826,86,11826,11826
2020-06-21 14:06:47.141738,11826,86,11826,11826
2020-06-21 14:06:48.311160,11826,86,11826,11826
2020-06-21 14:06:49.090805,11826,86,11826,11826
2020-06-21 14:06:50.260085,11826,84,11826,11826
2020-06-21 14:06:51.429697,11826,84,11826,11826
2020-06-21 14:06:52.209274,11826,84,11826,11826
2020-06-21 14:06:53.378709,11826,84,11826,11826
2020-06-21 14:06:54.158296,11826,84,11826,11826
2020-06-21 14:06:55.327436,11826,84,11826,11826
2020-06-21 14:06:56.107119,11826,84,11826,11826
2020-06-21 14:06:57.276985,11826,84,11826,11826
2020-06-21 14:06:58.446492,11826,82,11826,11826
2020-06-21 14:06:59.226087,11826,82,11826,11826
2020-06-21 14:07:00.395674,11826,82,11826,11826
2020-06-21 14:07:01.175353,11826,82,11826,11826
2020-06-21 14:07:02.344640,11826,82,11826,11826
2020-06-21 14:07:03.124566,11826,82,11826,11826
2020-06-21 14:07:04.294050,11826,82,11826,11826
2020-06-21 14:07:05.463463,11826,82,11826,11826
